TYPE,PROP_PIRI
PINE,0.278106509
PINE,0.528846154
PINE,0.447916667
PINE,0.759036145
PINE,1
PINE,0.872340426
PINE,0.666666667
PINE,0.803921569
PINE,0.349056604
PINE,0.646153846
PINE,0.382608696
PINE,0.3125
HWMX,0.192
PINE,0.722222222
PINE,0.506849315
HWMX,0.23880597
PINE,0.402777778
PINE,0.414141414
PINE,0.689320388
PINE,0.849056604
PINE,0.475409836
PINE,0.791666667
PINE,0.392857143
